GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
110010001001,2000,1.1,"District of Columbia, District of Columbia",1297.0,5.08,366.0,48.54,938.0,78120.0,567500.0,22.7,86.89,2.16,4.47,0.15,4.63,0.15,1.46,0.08,,,,,0,0,0
110010001001,2001,1.1,"District of Columbia, District of Columbia",1297.0,5.08,364.0,48.54,938.0,78120.0,567500.0,22.7,86.89,2.16,4.47,0.15,4.63,0.15,1.46,0.08,,,,,0,0,0
110010001001,2002,1.1,"District of Columbia, District of Columbia",1297.0,5.08,361.0,48.54,938.0,78120.0,567500.0,22.7,86.89,2.16,4.47,0.15,4.63,0.15,1.46,0.08,,,,,0,0,0
110010001001,2003,1.1,"District of Columbia, District of Columbia",1297.0,5.08,359.0,48.54,938.0,78120.0,567500.0,22.7,86.89,2.16,4.47,0.15,4.63,0.15,1.46,0.08,,,,,0,0,0
110010001001,2004,1.1,"District of Columbia, District of Columbia",1297.0,5.08,357.0,48.54,938.0,78120.0,567500.0,22.7,86.89,2.16,4.47,0.15,4.63,0.15,1.46,0.08,,,,,0,0,0
110010001001,2005,1.1,"District of Columbia, District of Columbia",1297.0,0.0,355.0,52.95,1536.0,79118.0,1000001.0,28.5,78.49,0.0,20.12,0.0,1.39,0.0,0.0,0.0,,,,,0,0,0
110010001001,2006,1.1,"District of Columbia, District of Columbia",1297.0,0.0,352.0,52.95,1536.0,79118.0,1000001.0,28.5,78.49,0.0,20.12,0.0,1.39,0.0,0.0,0.0,17.0,0.0,0.0,4.83,0,0,0
110010001001,2007,1.1,"District of Columbia, District of Columbia",1297.0,0.0,350.0,52.95,1536.0,79118.0,1000001.0,28.5,78.49,0.0,20.12,0.0,1.39,0.0,0.0,0.0,17.0,0.0,0.0,4.86,0,0,0
110010001001,2008,1.1,"District of Columbia, District of Columbia",1297.0,0.0,348.0,52.95,1536.0,79118.0,1000001.0,28.5,78.49,0.0,20.12,0.0,1.39,0.0,0.0,0.0,17.0,1.0,0.29,4.89,0,0,0
110010001001,2009,1.1,"District of Columbia, District of Columbia",1297.0,0.0,345.0,52.95,1536.0,79118.0,1000001.0,28.5,78.49,0.0,20.12,0.0,1.39,0.0,0.0,0.0,15.0,0.0,0.0,4.34,0,0,0
110010001001,2010,1.1,"District of Columbia, District of Columbia",1343.0,0.0,343.0,48.04,1492.0,99667.0,968800.0,24.8,84.66,1.56,8.12,0.22,4.02,0.07,1.12,0.22,16.0,0.0,0.0,4.66,0,0,0
110010001001,2011,1.1,"District of Columbia, District of Columbia",1431.0,0.0,349.0,53.29,2568.0,141792.0,1133500.0,22.1,85.67,1.47,10.76,0.0,2.1,0.0,0.0,0.0,32.0,2.0,0.57,9.18,1,0,0
110010001001,2012,1.1,"District of Columbia, District of Columbia",1431.0,0.0,354.0,53.29,2568.0,141792.0,1133500.0,22.1,85.67,1.47,10.76,0.0,2.1,0.0,0.0,0.0,20.0,0.0,0.0,5.64,1,0,0
110010001001,2013,1.1,"District of Columbia, District of Columbia",1431.0,0.0,360.0,53.29,2568.0,141792.0,1133500.0,22.1,85.67,1.47,10.76,0.0,2.1,0.0,0.0,0.0,,,,,0,0,0
