OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
1,0005011,1004,110010005011004,110010005011004,385019,3407,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,92.90825947,3646.78012576715,375986.38657526,0.14516916
2,0005011,1005,110010005011005,110010005011005,17104,0,319,313,282,6,0,24,0,1,1,0,5,0,27,256,6,0,24,0,0,1,0,5,0,303,269,5,0,22,0,1,1,0,5,0,22,248,5,0,22,0,0,1,0,5,0,172,160,12,4.22602654,600.802420482818,17102.1226245421,0.00660317
3,0005011,1006,110010005011006,110010005011006,13667,0,422,407,358,20,0,29,0,0,6,3,10,0,27,332,20,0,28,0,0,6,3,10,0,415,356,15,0,29,0,0,6,3,10,0,27,330,15,0,28,0,0,6,3,10,0,330,313,17,3.37694114,567.784015602187,13665.9959598757,0.00527647
4,0005011,1007,110010005011007,110010005011007,25281,0,215,204,181,3,0,16,0,4,2,0,9,0,11,174,3,0,16,0,0,2,0,9,0,183,162,2,0,12,0,4,0,0,3,0,11,155,2,0,12,0,0,0,0,3,0,89,87,2,6.2465494,784.319403058902,25278.8885499485,0.00976023
5,0005011,1008,110010005011008,110010005011008,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45035641,233.987534022561,1822.52771245948,0.00070368
6,0005011,1009,110010005011009,110010005011009,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54391236,523.980993647737,10294.848087677,0.00397486
7,0005011,1010,110010005011010,110010005011010,14798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65630529,511.54127551683,14796.5425502952,0.00571298
8,0005011,1011,110010005011011,110010005011011,22856,0,103,101,91,5,2,3,0,0,1,0,1,0,3,88,5,2,3,0,0,1,0,1,0,98,87,5,2,3,0,0,0,0,1,0,3,84,5,2,3,0,0,0,0,1,0,53,50,3,5.64727404,689.758304431806,22853.7072285546,0.00882387
9,0005011,1012,110010005011012,110010005011012,29905,0,672,657,543,51,5,39,1,18,4,6,8,0,50,517,49,1,39,1,3,2,4,8,0,630,517,49,3,33,1,14,4,6,6,0,41,495,47,1,33,1,2,2,4,6,0,342,321,21,7.38896984,856.702483667852,29902.1000496888,0.01154527
10,0005011,1013,110010005011013,110010005011013,9918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45065536,590.215836400855,9917.45036615069,0.00382915
11,0005011,1014,110010005011014,110010005011014,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18464285,132.783836647243,747.223089147852,0.0002885
12,0005012,2000,110010005012000,110010005012000,123029,0,1559,1499,1315,38,0,137,0,9,18,9,31,3,112,1239,38,0,135,0,1,6,2,27,3,1482,1257,37,0,132,0,8,14,8,22,3,96,1192,37,0,130,0,0,4,2,20,3,1136,1041,95,30.39801156,1455.9770277653,123016.388306849,0.04749689
13,0003003,3006,110010003003006,110010003003006,98990,1948,251,244,216,7,0,19,0,2,0,0,2,0,27,191,7,0,19,0,0,0,0,2,0,202,181,4,0,14,0,2,0,0,1,0,21,162,4,0,14,0,0,0,0,1,0,119,103,18,24.93980432,1907.30812263567,100927.807295497,0.03896844
14,0003003,3007,110010003003007,110010003003007,12878,0,24,24,24,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,14,12,2,3.1819691,597.445970973992,12876.9720740093,0.00497183
15,0003003,3008,110010003003008,110010003003008,4085,386,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.10466352,258.903385724251,4470.41465467485,0.00172604
16,0003003,3009,110010003003009,110010003003009,24772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12067237,649.166608237573,24769.4822734101,0.00956355
17,0003003,3010,110010003003010,110010003003010,12377,0,108,107,94,0,1,12,0,0,1,0,0,0,2,93,0,1,11,0,0,1,0,0,0,98,84,0,1,12,0,0,1,0,0,0,2,83,0,1,11,0,0,1,0,0,0,37,35,2,3.05817294,445.535704984425,12375.986785891,0.0047784
18,0003003,3011,110010003003011,110010003003011,12376,0,130,128,117,6,0,5,0,0,1,1,1,0,10,107,6,0,5,0,0,1,1,1,0,123,110,6,0,5,0,0,1,1,1,0,9,101,6,0,5,0,0,1,1,1,0,41,38,3,3.05778627,447.503140452195,12374.4220184759,0.00477779
19,0003003,3012,110010003003012,110010003003012,12345,0,121,111,97,4,0,7,0,3,4,0,6,0,17,83,4,0,7,0,0,4,0,6,0,120,96,4,0,7,0,3,4,0,6,0,17,82,4,0,7,0,0,4,0,6,0,37,35,2,3.05024017,446.67363586281,12343.8840170855,0.004766
20,0003003,3013,110010003003013,110010003003013,13379,0,118,116,105,2,0,7,0,2,0,0,2,0,11,97,1,0,7,0,0,0,0,2,0,110,97,2,0,7,0,2,0,0,2,0,7,93,1,0,7,0,0,0,0,2,0,38,34,4,3.30562977,462.966937851675,13377.4090656215,0.00516505
21,0003004,4000,110010003004000,110010003004000,21954,0,138,136,129,4,1,0,0,2,0,0,2,0,10,121,4,0,0,0,1,0,0,2,0,120,111,4,1,0,0,2,0,0,2,0,9,104,4,0,0,0,1,0,0,2,0,54,51,3,5.4244414,824.679551986746,21951.9355232366,0.00847569
22,0003004,4001,110010003004001,110010003004001,20186,0,218,212,199,4,0,9,0,0,1,1,3,0,9,191,4,0,9,0,0,1,1,3,0,184,168,4,0,9,0,0,0,1,1,0,5,164,4,0,9,0,0,0,1,1,0,74,73,1,4.98746776,619.733360390749,20183.565942126,0.00779292
23,0003004,4002,110010003004002,110010003004002,15484,0,172,167,164,0,0,1,0,2,1,0,1,0,9,160,0,0,1,0,0,1,0,1,0,153,145,0,0,1,0,2,1,0,1,0,9,141,0,0,1,0,0,1,0,1,0,63,60,3,3.82569278,562.958008044782,15482.0293838071,0.00597764
24,0003004,4003,110010003004003,110010003004003,8460,0,105,104,102,0,0,2,0,0,0,0,1,0,2,100,0,0,2,0,0,0,0,1,0,88,85,0,0,2,0,0,0,0,1,0,2,83,0,0,2,0,0,0,0,1,0,38,38,0,2.09037171,397.375000045477,8459.43418767415,0.00326621
25,0003004,4004,110010003004004,110010003004004,10272,0,97,93,75,1,0,16,0,1,0,0,3,2,6,71,1,0,16,0,0,0,0,3,2,84,66,1,0,13,0,1,0,0,2,2,5,63,1,0,13,0,0,0,0,2,2,43,41,2,2.53812549,435.836403492732,10271.4294199982,0.00396582
26,0003004,4005,110010003004005,110010003004005,17732,0,166,166,159,2,0,4,0,1,0,0,0,0,8,152,2,0,4,0,0,0,0,0,0,141,135,2,0,3,0,1,0,0,0,0,6,130,2,0,3,0,0,0,0,0,0,67,65,2,4.38135973,620.936169006199,17730.7337532979,0.00684587
27,0003004,4006,110010003004006,110010003004006,12145,0,141,135,128,0,0,7,0,0,0,0,3,3,2,126,0,0,7,0,0,0,0,3,3,117,108,0,0,7,0,0,0,0,1,1,2,106,0,0,7,0,0,0,0,1,1,55,54,1,3.00091662,505.33449934127,12144.2786898672,0.00468893
28,0003004,4007,110010003004007,110010003004007,14498,0,137,137,123,3,0,6,0,5,0,0,0,0,11,117,3,0,6,0,0,0,0,0,0,109,100,1,0,5,0,3,0,0,0,0,7,96,1,0,5,0,0,0,0,0,0,51,48,3,3.58217228,523.213493961271,14496.5368960094,0.00559714
29,0003004,4008,110010003004008,110010003004008,12912,0,120,117,113,2,1,1,0,0,0,0,3,0,3,110,2,1,1,0,0,0,0,3,0,101,95,2,0,1,0,0,0,0,3,0,3,92,2,0,1,0,0,0,0,3,0,50,47,3,3.19024003,467.197238560994,12910.4433345833,0.00498475
30,0003004,4009,110010003004009,110010003004009,14807,0,137,133,120,2,0,11,0,0,1,1,3,0,4,116,2,0,11,0,0,1,1,3,0,116,101,2,0,11,0,0,1,1,1,0,4,97,2,0,11,0,0,1,1,1,0,52,51,1,3.65842123,511.76607995837,14805.1054467063,0.00571628
