cluster_assignment,ALIASNAME,Labels,GEOID,poi_url,Notes
1,THEODORE ROOSEVELT ISLAND NATIONAL MEMORIAL,Theodore Roosevelt Island National Memorial,110010001004048,https://www.nps.gov/common/uploads/stories/images/nri/20160731/articles/A0119CB3-1DD8-B71B-0BF5EC8C523B2291/A0119CB3-1DD8-B71B-0BF5EC8C523B2291.jpg,
2,KHALIL GIBRAN MEMORIAL,Khalil Gibran Memorial,110010004002009,http://dcmemorialist.com/wp-content/gallery/gibran/2014-07-05-19.41.29-1.jpg,
3,OAK HILL CEMETERY CHAPEL & GATEHOUSE,Oak Hill Cemetery Chapel & Gatehouse,110010001001000,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Oak_Hill_Cemetery_Chapel%2C_DC.jpg/1024px-Oak_Hill_Cemetery_Chapel%2C_DC.jpg,
4,COSMOS CLUB,Cosmos Club,110010101001026,https://fotobyfreas.com/wp-content/uploads/2017/07/dc-wedding-photographer-36.jpg,
5,NATIONAL ZOO ELEPHANT HOUSE,National Zoo Elephant House,110010005011004,https://nationalzoo.si.edu/sites/default/files/styles/768x384_scale_and_crop/public/animals/elephant-002.jpg?itok=WPG1jUKE&timestamp=1520537679,
6,HAHNEMANN,Samuel Hahnemann Memorial,110010052012008,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Samuel_Hahnemann_DC.JPG/800px-Samuel_Hahnemann_DC.JPG,
7,SAINT BERNADETTE STATUE,Saint Bernadette Statue,110010095032011,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/St._Bernadette_%28Mary_E._Lynch%29.JPG/800px-St._Bernadette_%28Mary_E._Lynch%29.JPG,
8,GEORGETOWN UNIVERSITY,Georgetown University,110010002011001,http://www.destination360.com/north-america/us/washington-dc/images/s/georgetown-washington-dc.jpg,Georgetown
9,ROOSEVELT,Roosevelt,110010062021022,https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2o5M3I3emhsam9hYzQ3YzMzZTBjY2Q1OTNkODdfMjAxNzA1MDdfMTY1MzAxLmpwZyJdLFsicCIsInRodW1iIiwieDM5MD4iXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il1d/20170507_165301.jpg,Desk monument
10,JOAN OF ARC STATUE,Joan of Arc Statue,110010037003000,https://wtop.com/wp-content/uploads/2018/03/IMG_3599-1672x1254.jpg,
