cluster_assignment,ALIASNAME,Labels,GEOID,poi_url
1,CAPITAL CRESCENT,Capital Crescent Trail,110010008014008,https://cloudfront.traillink.com/photos/capital-crescent-trail_154568_sc.jpg
2,EMBASSY OF THE UNION OF MYANMAR,Embassy of The Union of Myanmar,110010041003014,https://upload.wikimedia.org/wikipedia/commons/2/21/Embassy_of_Myanmar%2C_Washington.jpg
3,ANACOSTIA MARINA,Anacostia Marina,110010068041011,https://www.tripsavvy.com/thmb/dWo23oEuu67BnJgK8p6h7_H3OSA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-652917880-5ae6674cc673350036cb4ca8.jpg
4,ANTHEM,The Anthem,110010102002034,https://wsdg.com/wp-content/uploads/TheAnthem-1.jpg
5,UNCLE BEAZLEY THE TRICERATOPS,Uncle Beazley the Triceratops,110010005011004,https://thumbs-prod.si-cdn.com/YGNogHkVP5-pHCXZG5JkKCTjKEc=/420x240/https://public-media.si-cdn.com/filer/20110520083135uncle-beazley-triceratops-zoo-300x225.jpg
6,ROCK CREEK PARK PICNIC GROVE,Rock Creek Park Picnic Grove,110010015001030,https://npplan.com/wp-content/uploads/2017/03/Rock-Creek-212-590x332.jpg
7,WORD WAR II Memorial,Word War II Memorial,110010062021161,https://www.nationalparks.org/sites/default/files/wwII_A8BG75.jpg
8,AMERICAN UNIVERSITY,American University,110010009013011,https://www.american.edu/admissions/experience-au/images/Preview-Day_2.jpg
9,THOMPSON BOAT CENTER,Thompson Boat Center,110010001004041,https://boatingindc.com/wp-content/uploads/sites/18/2017/11/Boating-In-DC-Thompson-Boat-Center-Rowing-62-706x470.jpg
10,VAN NESS HORSE STABLES	,Van Ness Horse Stables	,110010108002022,https://www.madeira.org/images/page_features/cr_horses-in-stables-2.jpg
